,BLOCK_NAME_MAP_TABLE,BLOCK_STOCK_CONTEXT
ce36,,
ce3b,,
ce44,新疆振兴,"33:000159,33:000813,33:000877,33:000972,33:002092,33:002100,33:002202,33:002205,33:002207,33:002302,33:002307,33:002719,33:300106,33:300603,17:600075,17:600084,17:600089,17:600090,17:600197,17:600251,17:600256,17:600337,17:600339,17:600359,17:600419,22:600425,17:600506,17:600509,22:600540,17:600545,17:600581,17:600721,17:600737,17:600778,17:600888,17:603227,"
ce4e,稀土永磁,"33:000511,33:000636,33:000758,33:000795,33:000831,33:000897,33:000969,33:000970,33:000993,33:002002,33:002056,33:002057,33:002600,33:300127,33:300224,33:300340,17:600010,17:600058,17:600110,17:600111,17:600193,17:600206,17:600259,17:600330,17:600362,17:600366,17:600390,17:600392,17:600478,17:600549,17:600614,17:600980,17:601600,"
ce54,融资融券,"33:000001,33:000002,33:000006,33:000009,33:000012,33:000022,33:000027,33:000028,33:000030,33:000031,33:000036,33:000039,33:000043,33:000046,33:000049,33:000050,33:000059,33:000060,33:000061,33:000062,33:000063,33:000069,33:000078,33:000088,33:000089,33:000090,33:000099,33:000100,33:000151,33:000156,33:000157,33:000166,33:000333,33:000338,33:000400,33:000401,33:000402,33:000404,33:000413,33:000415,33:000417,33:000418,33:000423,33:000425,33:000426,33:000488,33:000501,33:000503,33:000506,33:000513,33:000516,33:000525,33:000528,33:000531,33:000536,33:000537,33:000538,33:000539,33:000540,33:000541,33:000543,33:000550,33:000551,33:000552,33:000554,33:000559,33:000563,33:000565,33:000568,33:000572,33:000581,33:000592,33:000596,33:000598,33:000600,33:000607,33:000616,33:000623,33:000625,33:000626,33:000627,33:000630,33:000631,33:000650,33:000651,33:000656,33:000661,33:000665,33:000667,33:000671,33:000680,33:000685,33:000686,33:000690,33:000700,33:000708,33:000709,33:000712,33:000718,33:000719,33:000725,33:000726,33:000728,33:000729,33:000731,33:000732,33:000738,33:000739,33:000750,33:000758,33:000761,33:000762,33:000767,33:000768,33:000776,33:000777,33:000778,33:000783,33:000786,33:000789,33:000790,33:000792,33:000793,33:000800,33:000801,33:000807,33:000811,33:000812,33:000823,33:000825,33:000826,33:000828,33:000829,33:000830,33:000839,33:000848,33:000851,33:000858,33:000860,33:000868,33:000869,33:000876,33:000877,33:000878,33:000883,33:000887,33:000895,33:000897,33:000898,33:000899,33:000900,33:000901,33:000902,33:000905,33:000915,33:000917,33:000921,33:000926,33:000928,33:000930,33:000937,33:000938,33:000939,33:000957,33:000960,33:000961,33:000963,33:000966,33:000969,33:000970,33:000973,33:000975,33:000977,33:000979,33:000983,33:000988,33:000989,33:000996,33:000997,33:000998,33:000999,33:001696,33:001896,33:001979,33:002001,33:002002,33:002004,33:002005,33:002007,33:002008,33:002011,33:002016,33:002022,33:002023,33:002024,33:002025,33:002027,33:002028,33:002029,33:002030,33:002032,33:002038,33:002041,33:002042,33:002048,33:002049,33:002050,33:002051,33:002055,33:002056,33:002063,33:002064,33:002065,33:002067,33:002071,33:002073,33:002074,33:002078,33:002079,33:002081,33:002091,33:002092,33:002093,33:002095,33:002099,33:002104,33:002106,33:002108,33:002110,33:002117,33:002118,33:002128,33:002129,33:002130,33:002138,33:002140,33:002142,33:002146,33:002148,33:002151,33:002152,33:002153,33:002154,33:002158,33:002161,33:002176,33:002179,33:002181,33:002183,33:002185,33:002190,33:002191,33:002202,33:002203,33:002204,33:002210,33:002221,33:002223,33:002229,33:002230,33:002233,33:002236,33:002237,33:002241,33:002242,33:002244,33:002250,33:002251,33:002252,33:002261,33:002262,33:002266,33:002267,33:002268,33:002269,33:002271,33:002273,33:002275,33:002276,33:002277,33:002281,33:002285,33:002287,33:002292,33:002293,33:002294,33:002299,33:002302,33:002304,33:002307,33:002308,33:002310,33:002311,33:002313,33:002317,33:002318,33:002325,33:002340,33:002344,33:002353,33:002355,33:002367,33:002368,33:002369,33:002371,33:002372,33:002375,33:002378,33:002385,33:002393,33:002396,33:002399,33:002400,33:002401,33:002405,33:002407,33:002408,33:002410,33:002414,33:002415,33:002416,33:002419,33:002424,33:002428,33:002429,33:002431,33:002437,33:002439,33:002440,33:002444,33:002450,33:002456,33:002460,33:002461,33:002465,33:002467,33:002470,33:002474,33:002475,33:002476,33:002477,33:002482,33:002493,33:002500,33:002501,33:002508,33:002518,33:002521,33:002538,33:002556,33:002557,33:002561,33:002563,33:002573,33:002574,33:002577,33:002579,33:002588,33:002594,33:002595,33:002597,33:002603,33:002642,33:002646,33:002648,33:002653,33:002662,33:002673,33:002681,33:002701,33:002714,33:002736,33:300001,33:300002,33:300003,33:300005,33:300010,33:300014,33:300015,33:300017,33:300020,33:300024,33:300026,33:300027,33:300033,33:300034,33:300039,33:300053,33:300055,33:300058,33:300059,33:300065,33:300070,33:300072,33:300074,33:300079,33:300088,33:300090,33:300113,33:300115,33:300122,33:300124,33:300128,33:300133,33:300146,33:300147,33:300157,33:300168,33:300170,33:300182,33:300191,33:300199,33:300202,33:300203,33:300205,33:300212,33:300216,33:300226,33:300251,33:300253,33:300257,33:300273,33:300274,33:300355,33:300498,17:600000,17:600004,17:600006,17:600007,17:600008,17:600009,17:600010,17:600011,17:600012,17:600015,17:600016,17:600017,17:600018,17:600019,17:600020,17:600021,17:600022,17:600023,17:600026,17:600027,17:600028,17:600029,17:600030,17:600031,17:600033,17:600036,17:600037,17:600038,17:600039,17:600048,17:600050,17:600056,17:600058,17:600059,17:600060,17:600061,17:600062,17:600063,17:600064,17:600066,17:600067,17:600068,17:600073,17:600077,17:600078,17:600079,17:600085,17:600086,17:600088,17:600089,17:600094,17:600096,17:600098,17:600100,17:600104,17:600107,17:600108,17:600109,17:600110,17:600111,17:600113,17:600115,17:600116,17:600118,17:600119,17:600120,17:600122,17:600123,17:600125,17:600132,17:600135,17:600138,17:600139,17:600141,17:600143,17:600146,17:600150,17:600151,17:600153,17:600155,17:600157,17:600158,17:600160,17:600161,17:600162,17:600166,17:600168,17:600169,17:600170,17:600171,17:600175,17:600176,17:600177,17:600183,17:600185,17:600186,17:600187,17:600188,17:600193,17:600196,17:600197,17:600198,17:600199,17:600200,17:600201,17:600206,17:600208,17:600209,17:600210,17:600216,17:600218,17:600219,17:600220,17:600221,17:600222,17:600223,17:600229,17:600230,17:600236,17:600237,17:600239,17:600240,17:600251,17:600252,17:600256,17:600257,17:600259,17:600260,17:600261,17:600266,17:600267,17:600269,17:600270,17:600271,17:600273,17:600276,17:600277,17:600284,17:600285,17:600288,17:600292,17:600293,17:600297,17:600298,17:600300,17:600307,17:600309,17:600310,17:600312,17:600315,17:600316,17:600318,17:600320,17:600321,17:600323,17:600325,17:600326,17:600329,17:600330,17:600331,17:600332,17:600333,17:600335,17:600336,17:600337,17:600340,17:600343,17:600348,17:600350,17:600352,17:600354,17:600362,17:600363,17:600366,17:600369,17:600372,17:600373,17:600376,17:600377,17:600380,17:600382,17:600383,17:600386,17:600387,17:600388,17:600389,17:600391,17:600392,17:600395,17:600398,17:600406,17:600409,17:600410,17:600415,17:600416,17:600418,17:600422,17:600426,17:600433,17:600435,17:600436,17:600446,17:600449,17:600456,17:600458,17:600459,17:600460,17:600466,17:600467,17:600470,17:600478,17:600481,17:600482,17:600483,17:600485,17:600486,17:600487,17:600489,17:600490,17:600491,17:600495,17:600497,17:600498,17:600499,17:600500,17:600502,17:600503,17:600509,17:600511,17:600515,17:600516,17:600517,17:600518,17:600519,17:600521,17:600522,17:600523,17:600525,17:600526,17:600528,17:600535,17:600536,17:600537,17:600543,17:600545,17:600547,17:600548,17:600549,17:600551,17:600557,17:600559,17:600563,17:600565,17:600566,17:600568,17:600570,17:600572,17:600575,17:600578,17:600580,17:600582,17:600583,17:600584,17:600585,17:600587,17:600588,17:600592,17:600594,17:600595,17:600596,17:600597,17:600598,17:600600,17:600601,17:600604,17:600606,17:600609,17:600611,17:600612,17:600614,17:600616,17:600620,17:600624,17:600626,17:600633,17:600635,17:600637,17:600639,17:600640,17:600642,17:600643,17:600645,17:600648,17:600649,17:600651,17:600652,17:600653,17:600655,17:600660,17:600661,17:600662,17:600663,17:600664,17:600667,17:600668,17:600673,17:600674,17:600676,17:600677,17:600684,17:600686,17:600688,17:600690,17:600692,17:600694,17:600699,17:600702,17:600703,17:600704,17:600705,17:600707,17:600711,17:600716,17:600717,17:600718,17:600720,17:600722,17:600728,17:600729,17:600730,17:600737,17:600739,17:600740,17:600741,17:600742,17:600743,17:600744,17:600748,17:600750,17:600751,17:600755,17:600756,17:600757,17:600759,17:600761,17:600765,17:600770,17:600771,17:600773,17:600775,17:600776,17:600777,17:600783,17:600787,17:600789,17:600790,17:600795,17:600797,17:600800,17:600801,17:600802,17:600803,17:600804,17:600805,17:600807,17:600808,17:600809,17:600811,17:600816,17:600820,17:600823,17:600825,17:600826,17:600827,17:600830,17:600831,17:600835,17:600837,17:600838,17:600839,17:600846,17:600851,17:600855,17:600859,17:600863,17:600867,17:600868,17:600872,17:600873,17:600874,17:600875,17:600879,17:600880,17:600881,17:600884,17:600886,17:600887,17:600893,17:600894,17:600895,17:600900,17:600919,17:600926,17:600958,17:600967,17:600970,17:600971,17:600976,17:600978,17:600987,17:600993,17:600998,17:600999,17:601000,17:601001,17:601002,17:601006,17:601009,17:601012,17:601018,17:601021,17:601038,17:601088,17:601098,17:601099,17:601101,17:601107,17:601111,17:601117,17:601118,17:601126,17:601128,17:601139,17:601155,17:601158,17:601166,17:601168,17:601169,17:601179,17:601186,17:601198,17:601199,17:601211,17:601216,17:601218,17:601225,17:601229,17:601231,17:601233,17:601238,17:601258,17:601288,17:601311,17:601318,17:601328,17:601333,17:601336,17:601369,17:601377,17:601388,17:601390,17:601398,17:601515,17:601555,17:601566,17:601588,17:601600,17:601601,17:601607,17:601608,17:601618,17:601628,17:601633,17:601636,17:601666,17:601668,17:601669,17:601678,17:601688,17:601699,17:601717,17:601718,17:601727,17:601766,17:601777,17:601788,17:601789,17:601800,17:601801,17:601808,17:601818,17:601857,17:601866,17:601872,17:601877,17:601880,17:601881,17:601886,17:601888,17:601898,17:601899,17:601901,17:601919,17:601928,17:601929,17:601933,17:601939,17:601958,17:601985,17:601988,17:601989,17:601991,17:601992,17:601996,17:601997,17:601998,17:601999,17:603000,17:603001,17:603169,17:603188,17:603323,17:603369,17:603766,17:603993,"
ce59,移动支付,"33:000063,33:000701,33:000732,33:000861,33:000948,33:000988,33:000997,33:002010,33:002017,33:002049,33:002095,33:002104,33:002117,33:002119,33:002138,33:002153,33:002156,33:002161,33:002197,33:002251,33:002261,33:002268,33:002316,33:002356,33:002385,33:002396,33:002437,33:002512,33:002537,33:002548,33:002647,33:002657,33:002711,33:300077,33:300096,33:300130,33:300180,33:300205,33:300248,33:300306,33:300386,33:300479,33:300493,33:300531,33:300579,33:300638,33:300645,33:300663,17:600050,17:600100,17:600122,17:600198,17:600318,17:600410,17:600571,17:600584,17:600588,22:600680,17:600728,17:600745,17:600764,17:600870,"
ce5c,,
ce9c,黄金,"33:000408,33:000409,33:000587,33:000593,33:000636,33:000975,33:002102,33:002155,33:002237,33:002345,33:002574,33:002716,33:002721,17:600086,17:600146,17:600311,17:600326,17:600362,17:600385,17:600489,17:600490,17:600531,17:600547,17:600612,17:600655,17:600687,17:600711,17:600766,17:600807,17:600891,17:600988,17:601069,17:601168,17:601212,17:601899,17:601969,17:603993,"
cecb,物联网,"33:000034,33:000039,33:000063,33:000333,33:000682,33:000701,33:000725,33:000851,33:000909,33:000917,33:000948,33:000981,33:000988,33:000997,33:001979,33:002017,33:002047,33:002073,33:002093,33:002100,33:002104,33:002138,33:002156,33:002161,33:002185,33:002191,33:002214,33:002231,33:002235,33:002241,33:002303,33:002313,33:002316,33:002339,33:002376,33:002402,33:002446,33:002465,33:002474,33:002512,33:002767,33:002781,33:002881,33:002925,33:300002,33:300007,33:300050,33:300066,33:300077,33:300078,33:300098,33:300131,33:300134,33:300184,33:300209,33:300213,33:300228,33:300259,33:300275,33:300279,33:300310,33:300312,33:300349,33:300360,33:300367,33:300371,33:300448,33:300456,33:300458,33:300465,33:300476,33:300493,33:300496,33:300514,33:300523,33:300557,33:300561,33:300590,33:300607,33:300638,33:300730,17:600035,17:600037,17:600071,17:600100,17:600157,17:600171,17:600198,17:600203,17:600271,17:600410,17:600487,17:600584,17:600734,17:600839,17:601313,17:601799,17:603083,17:603322,17:603528,17:603776,17:603986,"
cfe6,智能电网,"33:000021,33:000400,33:000585,33:000607,33:000682,33:000967,33:002028,33:002063,33:002074,33:002090,33:002112,33:002121,33:002123,33:002168,33:002169,33:002184,33:002212,33:002227,33:002298,33:002309,33:002322,33:002339,33:002350,33:002356,33:002358,33:002359,33:002380,33:002441,33:002451,33:002452,33:002471,33:002498,33:002519,33:002533,33:002545,33:002546,33:002560,33:002606,33:002617,33:002622,33:002684,33:002692,33:002879,33:300001,33:300014,33:300018,33:300035,33:300040,33:300062,33:300069,33:300120,33:300139,33:300140,33:300141,33:300183,33:300208,33:300215,33:300222,33:300259,33:300277,33:300283,33:300286,33:300341,33:300353,33:300356,33:300360,33:300365,33:300423,33:300427,33:300444,33:300477,33:300491,33:300510,33:300513,33:300514,33:300617,33:300670,17:600089,22:600112,17:600171,17:600192,17:600268,17:600290,17:600312,17:600353,17:600379,17:600406,17:600468,17:600487,17:600517,17:600525,17:600550,17:600577,17:600869,17:600973,17:601126,17:601179,17:601222,17:601567,17:601616,17:601700,17:601877,17:603050,17:603421,17:603556,17:603803,17:603829,17:603861,"
